	age
GTEX-SUCS-0006-SM-4DM59	Old (60-79)
GTEX-T5JC-0006-SM-EZ6L9	Young (20-49)
GTEX-T5JW-0005-SM-3GADE	Young (20-49)
GTEX-T6MO-0006-SM-32QOU	Young (20-49)
GTEX-T8EM-0006-SM-3DB71	Young (20-49)
GTEX-TKQ1-0006-SM-33HBI	Young (20-49)
GTEX-TML8-0005-SM-32QPA	Young (20-49)
GTEX-TMMY-0005-SM-33HBN	Young (20-49)
GTEX-TMZS-0006-SM-3DB8G	Old (60-79)
GTEX-TSE9-0005-SM-4DXUF	Old (60-79)
GTEX-U3ZH-0005-SM-3DB72	Young (20-49)
GTEX-U3ZN-0006-SM-3DB7Y	Young (20-49)
GTEX-U4B1-0006-SM-3DB8E	Young (20-49)
GTEX-U8T8-0005-SM-3DB8F	Old (60-79)
GTEX-U8XE-0005-SM-3DB8I	Young (20-49)
GTEX-UPK5-0006-SM-3GAD8	Young (20-49)
GTEX-UTHO-0006-SM-3NMCC	Old (60-79)
GTEX-V955-0005-SM-3P5ZC	Old (60-79)
GTEX-VJYA-0005-SM-3P5ZD	Old (60-79)
GTEX-VUSH-0005-SM-3NB2H	Young (20-49)
GTEX-W5X1-0006-SM-3GIJZ	Young (20-49)
GTEX-WEY5-0006-SM-3GIKG	Young (20-49)
GTEX-WFG7-0005-SM-3GIKM	Young (20-49)
GTEX-WFG8-0006-SM-3GIKS	Young (20-49)
GTEX-WFJO-0005-SM-3GIKY	Young (20-49)
GTEX-WFON-0005-SM-3NMC9	Young (20-49)
GTEX-WH7G-0005-SM-3NMBX	Young (20-49)
GTEX-WHSE-0006-SM-3NMBW	Young (20-49)
GTEX-WI4N-0005-SM-3LK7E	Young (20-49)
GTEX-WOFL-0006-SM-3TW8K	Old (60-79)
GTEX-WOFM-0005-SM-3MJF3	Young (20-49)
GTEX-WQUQ-0006-SM-3MJF4	Old (60-79)
GTEX-WRHK-0005-SM-3MJF5	Young (20-49)
GTEX-WYBS-0005-SM-4ONDR	Old (60-79)
